Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-5619102,SLC transporter disorders,9,185,0.01196327,0.371025115,0.63392559,7,65,0.004414861,9606,Homo sapiens,NUP214;SLC12A3;SLC24A4;SLC11A2;SLC4A1;NUPL2;SLC6A20;SLC26A4,,R-HSA-5660694;R-HSA-5623558;R-HSA-5661474;R-HSA-5627870;R-HSA-5626270;R-HSA-5623705;R-HSA-5656248
R-HSA-3214842,HDMs demethylate histones,2,31,0.002004656,0.372223643,0.63392559,17,17,0.001154656,9606,Homo sapiens,HIST1H4I;HIST1H3C,,R-HSA-4754187;R-HSA-4754176;R-HSA-5661116;R-HSA-5661114;R-HSA-5661115;R-HSA-4754181;R-HSA-3214912;R-HSA-5661124;R-HSA-5661125;R-HSA-4724284;R-HSA-5661122;R-HSA-5661123;R-HSA-5661120;R-HSA-5661121;R-HSA-4722133;R-HSA-5423117;R-HSA-4724279
R-HSA-5654693,FRS-mediated FGFR1 signaling,2,31,0.002004656,0.372223643,0.63392559,9,9,6.11E-04,9606,Homo sapiens,FLG,,R-HSA-5654578;R-HSA-5654575;R-HSA-5654586;R-HSA-5654587;R-HSA-5654571;R-HSA-5654584;R-HSA-5654392;R-HSA-8941623;R-HSA-5654569
R-HSA-1296059,G protein gated Potassium channels,2,31,0.002004656,0.372223643,0.63392559,3,3,2.04E-04,9606,Homo sapiens,GABBR2;KCNJ6,,R-HSA-1013020;R-HSA-1013013;R-HSA-1013012
R-HSA-997272,Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits,2,31,0.002004656,0.372223643,0.63392559,3,3,2.04E-04,9606,Homo sapiens,GABBR2;KCNJ6,,R-HSA-1013020;R-HSA-1013013;R-HSA-1013012
R-HSA-1296041,Activation of G protein gated Potassium channels,2,31,0.002004656,0.372223643,0.63392559,3,3,2.04E-04,9606,Homo sapiens,GABBR2;KCNJ6,,R-HSA-1013020;R-HSA-1013013;R-HSA-1013012
R-HSA-5693554,Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA),2,31,0.002004656,0.372223643,0.63392559,1,1,6.79E-05,9606,Homo sapiens,XRCC3;ATM,,R-HSA-5693589
R-HSA-174411,Polymerase switching on the C-strand of the telomere,2,31,0.002004656,0.372223643,0.63392559,4,6,4.08E-04,9606,Homo sapiens,CDC27;POT1,,R-HSA-174448;R-HSA-174439;R-HSA-174452;R-HSA-174447
R-HSA-3000157,Laminin interactions,2,31,0.002004656,0.372223643,0.63392559,9,15,0.001018814,9606,Homo sapiens,COL4A1;LAMA4,,R-HSA-2426676;R-HSA-2328145;R-HSA-2426450;R-HSA-2396083;R-HSA-2426530;R-HSA-3907292;R-HSA-2327803;R-HSA-216058;R-HSA-4084501
R-HSA-174178,APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1,4,74,0.004785308,0.374337556,0.63392559,6,6,4.08E-04,9606,Homo sapiens,REG;CDC27;PSME2;ANAPC2,,R-HSA-174195;R-HSA-9686980;R-HSA-9686969;R-HSA-174088;R-HSA-174105;R-HSA-188191
R-HSA-179419,APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint,4,74,0.004785308,0.374337556,0.63392559,6,6,4.08E-04,9606,Homo sapiens,REG;CDC27;PSME2;ANAPC2,,R-HSA-179410;R-HSA-174171;R-HSA-174104;R-HSA-179417;R-HSA-174255;R-HSA-179421
R-HSA-114608,Platelet degranulation ,7,141,0.009117951,0.377454078,0.63392559,4,11,7.47E-04,9606,Homo sapiens,SELP;CD163;ALB;PLG;CD36;LY6G6D,,R-HSA-481044;R-HSA-481010;R-HSA-481009;R-HSA-481007
R-HSA-774815,Nucleosome assembly,3,53,0.003427315,0.382067445,0.63392559,3,4,2.72E-04,9606,Homo sapiens,HIST1H2AJ;HIST1H4I;HIST1H2AB,,R-HSA-606287;R-HSA-606289;R-HSA-606326
R-HSA-606279,Deposition of new CENPA-containing nucleosomes at the centromere,3,53,0.003427315,0.382067445,0.63392559,3,4,2.72E-04,9606,Homo sapiens,HIST1H2AJ;HIST1H4I;HIST1H2AB,,R-HSA-606287;R-HSA-606289;R-HSA-606326
R-HSA-168333,NEP/NS2 Interacts with the Cellular Export Machinery,3,53,0.003427315,0.382067445,0.63392559,1,2,1.36E-04,9606,Homo sapiens,NUP214;NUPL2,,R-HSA-168880
R-HSA-69017,CDK-mediated phosphorylation and removal of Cdc6,4,75,0.004849974,0.383713585,0.63392559,2,4,2.72E-04,9606,Homo sapiens,REG;CDC27;PSME2;ANAPC2,,R-HSA-69015;R-HSA-69016
R-HSA-5689901,Metalloprotease DUBs,2,32,0.002069322,0.387001246,0.63392559,2,6,4.08E-04,9606,Homo sapiens,HIST1H2AJ;HIST1H2AB,,R-HSA-5691381;R-HSA-5691411
R-HSA-8874081,MET activates PTK2 signaling,2,32,0.002069322,0.387001246,0.63392559,1,5,3.40E-04,9606,Homo sapiens,LAMA4;COL11A2,,R-HSA-8874079
R-HSA-5357769,Caspase activation via extrinsic apoptotic signalling pathway,2,32,0.002069322,0.387001246,0.63392559,3,17,0.001154656,9606,Homo sapiens,UNC5A;TLR4,,R-HSA-2562564;R-HSA-418846;R-HSA-374699
R-HSA-1855183,"Synthesis of IP2, IP, and Ins in the cytosol",2,32,0.002069322,0.387001246,0.63392559,2,14,9.51E-04,9606,Homo sapiens,INPP5B;SYNJ1,,R-HSA-1855174;R-HSA-1855222
R-HSA-9022699,MECP2 regulates neuronal receptors and channels,2,32,0.002069322,0.387001246,0.63392559,2,26,0.001765944,9606,Homo sapiens,SLC2A3,,R-HSA-9022186;R-HSA-9022175
R-HSA-176409,APC/C:Cdc20 mediated degradation of mitotic proteins,4,76,0.00491464,0.393072922,0.63392559,13,13,8.83E-04,9606,Homo sapiens,REG;CDC27;PSME2;ANAPC2,,R-HSA-174144;R-HSA-174120;R-HSA-174121;R-HSA-174255;R-HSA-174157;R-HSA-179410;R-HSA-174227;R-HSA-174202;R-HSA-174171;R-HSA-174104;R-HSA-179417;R-HSA-174238;R-HSA-179421
R-HSA-9662360,Sensory processing of sound by inner hair cells of the cochlea,4,76,0.00491464,0.393072922,0.63392559,3,7,4.75E-04,9606,Homo sapiens,PCLO;XIRP2;ATP2B1;DFNB31,,R-HSA-9662096;R-HSA-9664214;R-HSA-9659380
R-HSA-349425,Autodegradation of the E3 ubiquitin ligase COP1,3,54,0.003491981,0.39326452,0.63392559,2,5,3.40E-04,9606,Homo sapiens,REG;PSME2;ATM,,R-HSA-349444;R-HSA-264458
R-HSA-168274,Export of Viral Ribonucleoproteins from Nucleus,3,54,0.003491981,0.39326452,0.63392559,1,5,3.40E-04,9606,Homo sapiens,NUP214;NUPL2,,R-HSA-168880
R-HSA-75153,Apoptotic execution phase,3,54,0.003491981,0.39326452,0.63392559,4,57,0.003871494,9606,Homo sapiens,ROCK1;SORBS2;HMGB1,,R-HSA-202966;R-HSA-266204;R-HSA-201611;R-HSA-211247
R-HSA-9818032,NFE2L2 regulating MDR associated enzymes,1,12,7.76E-04,0.394841109,0.63392559,8,8,5.43E-04,9606,Homo sapiens,MAFK,,R-HSA-9796039;R-HSA-9796065;R-HSA-9796048;R-HSA-9796077;R-HSA-9796076;R-HSA-9796079;R-HSA-9796042;R-HSA-9796074
R-HSA-8866907,Activation of the TFAP2 (AP-2) family of transcription factors,1,12,7.76E-04,0.394841109,0.63392559,3,4,2.72E-04,9606,Homo sapiens,TFAP2B,,R-HSA-8864278;R-HSA-8864595;R-HSA-8864307
R-HSA-9613354,Lipophagy,1,12,7.76E-04,0.394841109,0.63392559,3,5,3.40E-04,9606,Homo sapiens,PRKAA2,,R-HSA-9613530;R-HSA-9613513;R-HSA-9613565
R-HSA-112411,MAPK1 (ERK2) activation,1,12,7.76E-04,0.394841109,0.63392559,1,3,2.04E-04,9606,Homo sapiens,JAK2,,R-HSA-109858
R-HSA-561048,Organic anion transport,1,12,7.76E-04,0.394841109,0.63392559,1,3,2.04E-04,9606,Homo sapiens,SLC22A8,,R-HSA-561041
R-HSA-450520,HuR (ELAVL1) binds and stabilizes mRNA,1,12,7.76E-04,0.394841109,0.63392559,2,7,4.75E-04,9606,Homo sapiens,NUP214,,R-HSA-450595;R-HSA-450387
R-HSA-418889,Caspase activation via Dependence Receptors in the absence of ligand,1,12,7.76E-04,0.394841109,0.63392559,2,8,5.43E-04,9606,Homo sapiens,UNC5A,,R-HSA-418846;R-HSA-374699
R-HSA-428542,Regulation of commissural axon pathfinding by SLIT and ROBO,1,12,7.76E-04,0.394841109,0.63392559,1,5,3.40E-04,9606,Homo sapiens,SLIT1,,R-HSA-373715
R-HSA-264870,Caspase-mediated cleavage of cytoskeletal proteins,1,12,7.76E-04,0.394841109,0.63392559,1,10,6.79E-04,9606,Homo sapiens,SORBS2,,R-HSA-202966
R-HSA-2672351,Stimuli-sensing channels,6,121,0.007824625,0.395052581,0.63392559,3,33,0.002241391,9606,Homo sapiens,WNK4;ANO6;ANO4;SGK1;ANO5;TPCN1,,R-HSA-2682349;R-HSA-2685505;R-HSA-2684901
R-HSA-157118,Signaling by NOTCH,12,258,0.016683911,0.396006024,0.63392559,14,154,0.010459825,9606,Homo sapiens,HDAC4;STAT1;REG;FBXW7;WWC1;HIST1H2AJ;PSME2;HIST1H4I;HIST1H3C;HIST1H2AB,,R-HSA-9021480;R-HSA-9021325;R-HSA-9604629;R-HSA-9604831;R-HSA-9021478;R-HSA-9604829;R-HSA-9604642;R-HSA-9604834;R-HSA-1852623;R-HSA-9013567;R-HSA-9014129;R-HSA-1912388;R-HSA-1912385;R-HSA-9021334
R-HSA-5619084,ABC transporter disorders,5,99,0.006401966,0.398984687,0.63392559,5,23,0.001562182,9606,Homo sapiens,LMBRD1;ABCB6;ABCC8;REG;PSME2,,R-HSA-5683325;R-HSA-8866858;R-HSA-5683355;R-HSA-5683209;R-HSA-5683113
R-HSA-73884,Base Excision Repair,5,99,0.006401966,0.398984687,0.63392559,12,107,0.007267541,9606,Homo sapiens,HIST1H2AJ;CDC27;POT1;HIST1H4I;HIST1H2AB,,R-HSA-110368;R-HSA-110371;R-HSA-9629216;R-HSA-5651809;R-HSA-9629483;R-HSA-9629195;R-HSA-110363;R-HSA-9629497;R-HSA-5651805;R-HSA-110364;R-HSA-9629372;R-HSA-9629373
R-HSA-425393,Transport of inorganic cations/anions and amino acids/oligopeptides,8,167,0.010799276,0.39935681,0.63392559,8,76,0.005161991,9606,Homo sapiens,SLC12A2;SLC12A3;SLC24A4;SLC32A1;SLC4A1;SLC4A2;SLC6A20;SLC26A4,,R-HSA-426086;R-HSA-352052;R-HSA-426130;R-HSA-428625;R-HSA-425678;R-HSA-425482;R-HSA-9725706;R-HSA-5627802
R-HSA-174414,Processive synthesis on the C-strand of the telomere,2,33,0.002133989,0.401623906,0.63392559,7,7,4.75E-04,9606,Homo sapiens,CDC27;POT1,,R-HSA-174451;R-HSA-174438;R-HSA-174456;R-HSA-174441;R-HSA-174446;R-HSA-174444;R-HSA-174445
R-HSA-176814,Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,4,77,0.004979307,0.402410656,0.63392559,15,15,0.001018814,9606,Homo sapiens,REG;CDC27;PSME2;ANAPC2,,R-HSA-174144;R-HSA-174119;R-HSA-174120;R-HSA-174121;R-HSA-174255;R-HSA-174157;R-HSA-179410;R-HSA-174227;R-HSA-174132;R-HSA-174202;R-HSA-174171;R-HSA-174104;R-HSA-179417;R-HSA-174238;R-HSA-179421
R-HSA-1280215,Cytokine Signaling in Immune system,48,1100,0.071132954,0.402615756,0.63392559,311,785,0.053317938,9606,Homo sapiens,EIF4A2;NLRX1;CD80;NOD1;HMGB1;IL2RG;IL1RL1;PTK2B;CD36;JAK2;JUNB;HIST1H3C;MAP2K3;NUP214;EGR1;TNFSF14;STAT1;MMP2;FANCA;MMP9;POMC;REG;OAS3;PSME2;NUPL2;EIF4G2;CD44;BCL2L1,,R-HSA-452100;R-HSA-9732753;R-HSA-452097;R-HSA-450063;R-HSA-1112602;R-HSA-452108;R-HSA-8987266;R-HSA-1112604;R-HSA-8950405;R-HSA-1369114;R-HSA-1369115;R-HSA-8987270;R-HSA-1671691;R-HSA-9732738;R-HSA-1168393;R-HSA-1168394;R-HSA-1112587;R-HSA-452122;R-HSA-913424;R-HSA-1671687;R-HSA-8963734;R-HSA-8950423;R-HSA-8950441;R-HSA-6783556;R-HSA-508451;R-HSA-6786114;R-HSA-913451;R-HSA-6783552;R-HSA-1031716;R-HSA-6786124;R-HSA-1168445;R-HSA-1031713;R-HSA-5668454;R-HSA-8937656;R-HSA-1168423;R-HSA-8950448;R-HSA-8950453;R-HSA-6783524;R-HSA-6786095;R-HSA-6786092;R-HSA-921155;R-HSA-6783530;R-HSA-976991;R-HSA-6786101;R-HSA-6809140;R-HSA-6786096;R-HSA-1364044;R-HSA-6786110;R-HSA-1168456;R-HSA-1168459;R-HSA-448603;R-HSA-8950485;R-HSA-449115;R-HSA-1364043;R-HSA-1112690;R-HSA-6786050;R-HSA-508513;R-HSA-5676593;R-HSA-5668414;R-HSA-6788623;R-HSA-6788622;R-HSA-9705726;R-HSA-6786058;R-HSA-9833723;R-HSA-1067646;R-HSA-1112703;R-HSA-6786070;R-HSA-9678561;R-HSA-8950522;R-HSA-448629;R-HSA-6788628;R-HSA-913529;R-HSA-9006844;R-HSA-5676591;R-HSA-914036;R-HSA-1170539;R-HSA-8950518;R-HSA-6786072;R-HSA-6793958;R-HSA-912527;R-HSA-1112727;R-HSA-8987150;R-HSA-8985091;R-HSA-8848395;R-HSA-8987141;R-HSA-1295519;R-HSA-1295516;R-HSA-1067651;R-HSA-1112708;R-HSA-9680389;R-HSA-9680388;R-HSA-1067659;R-HSA-447130;R-HSA-8987156;R-HSA-8983063;R-HSA-8987179;R-HSA-1112755;R-HSA-9008684;R-HSA-6783681;R-HSA-209061;R-HSA-1295540;R-HSA-9674808;R-HSA-6784204;R-HSA-9009700;R-HSA-1067688;R-HSA-1302698;R-HSA-1675473;R-HSA-8950340;R-HSA-8985157;R-HSA-9674816;R-HSA-8950364;R-HSA-5668481;R-HSA-8987230;R-HSA-877269;R-HSA-8950354;R-HSA-6784189;R-HSA-8987218;R-HSA-8987220;R-HSA-5668534;R-HSA-168166;R-HSA-6785165;R-HSA-8981093;R-HSA-877281;R-HSA-9732729;R-HSA-877308;R-HSA-982778;R-HSA-982775;R-HSA-168184;R-HSA-447226;R-HSA-909552;R-HSA-450296;R-HSA-982768;R-HSA-5668520;R-HSA-8987255;R-HSA-9730967;R-HSA-9835411;R-HSA-982792;R-HSA-9734547;R-HSA-8983425;R-HSA-8983424;R-HSA-8984963;R-HSA-914182;R-HSA-6785898;R-HSA-8985988;R-HSA-8984964;R-HSA-8987033;R-HSA-447252;R-HSA-982810;R-HSA-982807;R-HSA-450333;R-HSA-8952749;R-HSA-9835443;R-HSA-8983983;R-HSA-450337;R-HSA-879909;R-HSA-8865711;R-HSA-1169210;R-HSA-879910;R-HSA-450346;R-HSA-879907;R-HSA-451895;R-HSA-879934;R-HSA-8983996;R-HSA-1169188;R-HSA-879930;R-HSA-879925;R-HSA-9025969;R-HSA-9009072;R-HSA-1169192;R-HSA-8987080;R-HSA-8984012;R-HSA-8950733;R-HSA-8984014;R-HSA-9008577;R-HSA-8848335;R-HSA-8984001;R-HSA-8950210;R-HSA-879942;R-HSA-9749471;R-HSA-879937;R-HSA-9680348;R-HSA-508247;R-HSA-8987097;R-HSA-8983003;R-HSA-8983519;R-HSA-8983518;R-HSA-8950737;R-HSA-8984021;R-HSA-9707977;R-HSA-8984023;R-HSA-451942;R-HSA-9705461;R-HSA-919404;R-HSA-5607731;R-HSA-9705458;R-HSA-8987104;R-HSA-8950757;R-HSA-9705465;R-HSA-1168767;R-HSA-9705466;R-HSA-9705467;R-HSA-8952807;R-HSA-8848370;R-HSA-8950269;R-HSA-8950782;R-HSA-912757;R-HSA-6785821;R-HSA-8950260;R-HSA-508282;R-HSA-8952823;R-HSA-8950537;R-HSA-6788582;R-HSA-508292;R-HSA-8983309;R-HSA-6789615;R-HSA-8983299;R-HSA-8983298;R-HSA-9006850;R-HSA-8983300;R-HSA-1370500;R-HSA-9006873;R-HSA-909725;R-HSA-1168768;R-HSA-8983835;R-HSA-8983834;R-HSA-909726;R-HSA-909721;R-HSA-9705729;R-HSA-909722;R-HSA-1015702;R-HSA-909718;R-HSA-1015699;R-HSA-1370505;R-HSA-9705738;R-HSA-9006870;R-HSA-449958;R-HSA-8985900;R-HSA-9674550;R-HSA-909738;R-HSA-8950063;R-HSA-8983841;R-HSA-8983845;R-HSA-448427;R-HSA-1112510;R-HSA-8983335;R-HSA-873917;R-HSA-873919;R-HSA-997309;R-HSA-873918;R-HSA-8985914;R-HSA-9676071;R-HSA-5696482;R-HSA-6797267;R-HSA-8983870;R-HSA-8950591;R-HSA-1168809;R-HSA-6788571;R-HSA-1168813;R-HSA-9674542;R-HSA-449976;R-HSA-8950583;R-HSA-8985929;R-HSA-997326;R-HSA-8983371;R-HSA-8983374;R-HSA-8983872;R-HSA-873924;R-HSA-873927;R-HSA-8865613;R-HSA-1112538;R-HSA-873926;R-HSA-873921;R-HSA-8983876;R-HSA-8983878;R-HSA-873922;R-HSA-9674563;R-HSA-9674562;R-HSA-8983384;R-HSA-1112514;R-HSA-913374;R-HSA-9674567;R-HSA-1168839;R-HSA-913371;R-HSA-913370;R-HSA-8983378;R-HSA-8985943;R-HSA-8986985;R-HSA-1678841;R-HSA-1678842;R-HSA-5668789;R-HSA-1112565;R-HSA-9710963;R-HSA-8985966;R-HSA-450031;R-HSA-1176059;R-HSA-8983394;R-HSA-1369080;R-HSA-6790025;R-HSA-1168894;R-HSA-1169406;R-HSA-453111;R-HSA-6790036;R-HSA-8985981;R-HSA-453104;R-HSA-8987007;R-HSA-8950128;R-HSA-5675948;R-HSA-9710959;R-HSA-8985973;R-HSA-452091;R-HSA-6790041
R-HSA-3928665,EPH-ephrin mediated repulsion of cells,3,55,0.003556648,0.404408517,0.63392559,3,9,6.11E-04,9606,Homo sapiens,TIAM1;MMP2;MMP9,,R-HSA-4093327;R-HSA-3928642;R-HSA-3928657
R-HSA-445989,TAK1-dependent IKK and NF-kappa-B activation  ,3,55,0.003556648,0.404408517,0.63392559,3,17,0.001154656,9606,Homo sapiens,NLRX1;NOD1;HMGB1,,R-HSA-168166;R-HSA-168184;R-HSA-9749471
R-HSA-2173782,Binding and Uptake of Ligands by Scavenger Receptors,8,168,0.010863942,0.405624929,0.63392559,20,33,0.002241391,9606,Homo sapiens,IGHV3-3;CD163;HSPH1;COL4A1;ALB;CD36;APOB;APOL1,,R-HSA-2187264;R-HSA-3221843;R-HSA-2512800;R-HSA-2507854;R-HSA-2197770;R-HSA-2197645;R-HSA-2197646;R-HSA-2168883;R-HSA-2173778;R-HSA-2247511;R-HSA-2168887;R-HSA-2203479;R-HSA-2247514;R-HSA-2168889;R-HSA-2230938;R-HSA-2247512;R-HSA-2247513;R-HSA-2187261;R-HSA-2203516;R-HSA-2981040
R-HSA-8986944,Transcriptional Regulation by MECP2,5,100,0.006466632,0.407159338,0.63392559,5,77,0.005229912,9606,Homo sapiens,TEP1;SLC2A3;SGK1,,R-HSA-9615571;R-HSA-9022186;R-HSA-9022764;R-HSA-9022175;R-HSA-9022770
R-HSA-9840310,Glycosphingolipid catabolism,4,78,0.005043973,0.411722036,0.63392559,5,34,0.002309312,9606,Homo sapiens,GLB1;ARSF,,R-HSA-1605624;R-HSA-1606312;R-HSA-1614362;R-HSA-1605724;R-HSA-9840795
R-HSA-450408,AUF1 (hnRNP D0) binds and destabilizes mRNA,3,56,0.003621314,0.415492191,0.63392559,3,4,2.72E-04,9606,Homo sapiens,REG;PSME2;EIF4G2,,R-HSA-450551;R-HSA-450580;R-HSA-450466
R-HSA-8963899,Plasma lipoprotein remodeling,3,56,0.003621314,0.415492191,0.63392559,8,31,0.002105549,9606,Homo sapiens,ALB;APOB;LMF1,,R-HSA-174690;R-HSA-174739;R-HSA-264679;R-HSA-174757;R-HSA-266350;R-HSA-6785181;R-HSA-176879;R-HSA-6785178
R-HSA-9725371,Nuclear events stimulated by ALK signaling in cancer,3,56,0.003621314,0.415492191,0.63392559,4,32,0.00217347,9606,Homo sapiens,JUNB,,R-HSA-9725345;R-HSA-9851088;R-HSA-9851084;R-HSA-9725342
R-HSA-5576892,Phase 0 - rapid depolarisation,2,34,0.002198655,0.416079507,0.63392559,1,2,1.36E-04,9606,Homo sapiens,SCN1A,,R-HSA-5576895
R-HSA-380994,ATF4 activates genes in response to endoplasmic reticulum  stress,2,34,0.002198655,0.416079507,0.63392559,2,7,4.75E-04,9606,Homo sapiens,KHSRP;NFYC,,R-HSA-517731;R-HSA-1791107
R-HSA-8940973,RUNX2 regulates osteoblast differentiation,2,34,0.002198655,0.416079507,0.63392559,2,24,0.001630103,9606,Homo sapiens,SATB2;GLI3,,R-HSA-8985275;R-HSA-9008215
R-HSA-109581,Apoptosis,9,193,0.0124806,0.41797727,0.63392559,10,142,0.009644773,9606,Homo sapiens,UNC5A;ROCK1;REG;PSME2;SORBS2;HMGB1;TLR4;BCL2L1,,R-HSA-211715;R-HSA-2562564;R-HSA-508162;R-HSA-202966;R-HSA-266204;R-HSA-201611;R-HSA-418846;R-HSA-211247;R-HSA-6790025;R-HSA-374699
R-HSA-2468052,Establishment of Sister Chromatid Cohesion,1,13,8.41E-04,0.419657703,0.63392559,4,4,2.72E-04,9606,Homo sapiens,SMC3,,R-HSA-2468039;R-HSA-2473152;R-HSA-2473151;R-HSA-2468041
R-HSA-9027277,Erythropoietin activates Phospholipase C gamma (PLCG),1,13,8.41E-04,0.419657703,0.63392559,3,3,2.04E-04,9606,Homo sapiens,JAK2,,R-HSA-9027373;R-HSA-9032478;R-HSA-9027425
R-HSA-9664873,Pexophagy,1,13,8.41E-04,0.419657703,0.63392559,11,13,8.83E-04,9606,Homo sapiens,ATM,,R-HSA-9674131;R-HSA-9664883;R-HSA-9664850;R-HSA-9664881;R-HSA-9664880;R-HSA-9664855;R-HSA-9664888;R-HSA-9674127;R-HSA-9664879;R-HSA-9664862;R-HSA-9664892
R-HSA-2586552,Signaling by Leptin,1,13,8.41E-04,0.419657703,0.63392559,15,19,0.001290498,9606,Homo sapiens,JAK2,,R-HSA-2671850;R-HSA-2672302;R-HSA-2671855;R-HSA-2671872;R-HSA-2671873;R-HSA-2671747;R-HSA-2671876;R-HSA-2671868;R-HSA-2671742;R-HSA-2671839;R-HSA-2586559;R-HSA-2586555;R-HSA-2671829;R-HSA-2586553;R-HSA-2671862
R-HSA-1236973,Cross-presentation of particulate exogenous antigens (phagosomes),1,13,8.41E-04,0.419657703,0.63392559,2,3,2.04E-04,9606,Homo sapiens,CD36,,R-HSA-1236958;R-HSA-1236956
R-HSA-2151209,Activation of PPARGC1A (PGC-1alpha) by phosphorylation,1,13,8.41E-04,0.419657703,0.63392559,1,2,1.36E-04,9606,Homo sapiens,PRKAA2,,R-HSA-1592244
R-HSA-110056,MAPK3 (ERK1) activation,1,13,8.41E-04,0.419657703,0.63392559,1,4,2.72E-04,9606,Homo sapiens,JAK2,,R-HSA-109857
R-HSA-209952,Peptide hormone biosynthesis,1,13,8.41E-04,0.419657703,0.63392559,1,5,3.40E-04,9606,Homo sapiens,POMC,,R-HSA-265301
R-HSA-140342,Apoptosis induced DNA fragmentation,1,13,8.41E-04,0.419657703,0.63392559,2,12,8.15E-04,9606,Homo sapiens,HMGB1,,R-HSA-266204;R-HSA-211247
R-HSA-427413,NoRC negatively regulates rRNA expression,4,79,0.005108639,0.421002475,0.63392559,3,7,4.75E-04,9606,Homo sapiens,HIST1H2AJ;HIST1H4I;HIST1H3C;HIST1H2AB,,R-HSA-5227490;R-HSA-433672;R-HSA-427337
R-HSA-5250913,Positive epigenetic regulation of rRNA expression,4,79,0.005108639,0.421002475,0.63392559,3,7,4.75E-04,9606,Homo sapiens,HIST1H2AJ;HIST1H4I;HIST1H3C;HIST1H2AB,,R-HSA-427383;R-HSA-5250938;R-HSA-427336
R-HSA-5625740,RHO GTPases activate PKNs,4,79,0.005108639,0.421002475,0.63392559,8,20,0.001358419,9606,Homo sapiens,HIST1H2AJ;HIST1H4I;HIST1H3C;HIST1H2AB,,R-HSA-5625797;R-HSA-5625796;R-HSA-5625870;R-HSA-5625774;R-HSA-5625849;R-HSA-5625848;R-HSA-5625784;R-HSA-5625883
R-HSA-2122947,NOTCH1 Intracellular Domain Regulates Transcription,3,57,0.00368598,0.42650868,0.63392559,3,18,0.001222577,9606,Homo sapiens,HDAC4;FBXW7,,R-HSA-1852623;R-HSA-1912388;R-HSA-1912385
R-HSA-380108,Chemokine receptors bind chemokines,3,57,0.00368598,0.42650868,0.63392559,2,19,0.001290498,9606,Homo sapiens,CXCL9;CXCL11;CXCL13,,R-HSA-444523;R-HSA-374248
R-HSA-9749641,Aspirin ADME,4,80,0.005173306,0.430247547,0.63392559,5,26,0.001765944,9606,Homo sapiens,BCHE;CYP2C9;ALB;CYP2C19,,R-HSA-9749590;R-HSA-9750016;R-HSA-9749986;R-HSA-9749609;R-HSA-9750666
R-HSA-9674555,Signaling by CSF3 (G-CSF),2,35,0.002263321,0.430357183,0.63392559,17,21,0.00142634,9606,Homo sapiens,STAT1;JAK2,,R-HSA-9705461;R-HSA-9674550;R-HSA-9705458;R-HSA-9705726;R-HSA-9674808;R-HSA-9705465;R-HSA-9705466;R-HSA-9705467;R-HSA-9674563;R-HSA-9674562;R-HSA-9674816;R-HSA-9676071;R-HSA-9674567;R-HSA-9705729;R-HSA-9707977;R-HSA-9674542;R-HSA-9705738
R-HSA-109704,PI3K Cascade,3,58,0.003750647,0.437451504,0.63392559,1,6,4.08E-04,9606,Homo sapiens,FLG;FGFR4,,R-HSA-109699
R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),6,127,0.008212623,0.439109991,0.63392559,3,14,9.51E-04,9606,Homo sapiens,VGF;MMP2;ALB;PLG;APOB;APOL1,,R-HSA-381461;R-HSA-8952289;R-HSA-381435
R-HSA-9694635,Translation of Structural Proteins,4,81,0.005237972,0.439452992,0.63392559,5,46,0.003124363,9606,Homo sapiens,ST6GAL1;GALNT1;ZDHHC2;SRPK1,,R-HSA-9694438;R-HSA-9694341;R-HSA-9729330;R-HSA-9697018;R-HSA-9694718
R-HSA-8963888,Chylomicron assembly,1,14,9.05E-04,0.443458117,0.63392559,5,5,3.40E-04,9606,Homo sapiens,APOB,,R-HSA-174786;R-HSA-174660;R-HSA-174741;R-HSA-174587;R-HSA-174731
R-HSA-75205,Dissolution of Fibrin Clot,1,14,9.05E-04,0.443458117,0.63392559,15,21,0.00142634,9606,Homo sapiens,PLG,,R-HSA-158722;R-HSA-158784;R-HSA-158721;R-HSA-158982;R-HSA-9724753;R-HSA-158756;R-HSA-158766;R-HSA-158925;R-HSA-158893;R-HSA-158747;R-HSA-158744;R-HSA-158750;R-HSA-158942;R-HSA-9724745;R-HSA-158941
R-HSA-6787450,tRNA modification in the mitochondrion,1,14,9.05E-04,0.443458117,0.63392559,2,7,4.75E-04,9606,Homo sapiens,KIAA0391,,R-HSA-6787591;R-HSA-6787594
R-HSA-9758890,Transport of RCbl within the body,1,14,9.05E-04,0.443458117,0.63392559,1,9,6.11E-04,9606,Homo sapiens,LMBRD1,,R-HSA-9759206
